Australian Bureau of Statistics,,,,,,,,,,,,
1270055006C123 Local Government Area 2011 to Remoteness Area 2011,,,,,,,,,,,,
Released at 11.30am (Canberra time) 31 January 2013,,,,,,,,,,,,
Table 3 Correspondence,,,,,,,,,,,,
,,,,,,,,,,,,
LGA_CODE_2011,LGA_NAME_2011,RA_CODE_2011,RA_NAME_2011,RATIO,PERCENTAGE,,,,,,,
15270,Mid-Western Regional (A),12,Outer Regional Australia,0.4728407,47.2840698,,,,,,,
15300,Moree Plains (A),12,Outer Regional Australia,0.861503,86.150303,,,,,,,
15300,Moree Plains (A),13,Remote Australia,0.138497,13.849697,,,,,,,
15350,Mosman (A),10,Major Cities of Australia,1,100,,,,,,,
15500,Murray (A),11,Inner Regional Australia,0.7355139,73.5513887,,,,,,,
15500,Murray (A),12,Outer Regional Australia,0.2644861,26.4486113,,,,,,,
15550,Murrumbidgee (A),12,Outer Regional Australia,1,100,,,,,,,
15650,Muswellbrook (A),11,Inner Regional Australia,0.9601242,96.0124248,,,,,,,
15650,Muswellbrook (A),12,Outer Regional Australia,0.0398758,3.9875752,,,,,,,
15700,Nambucca (A),12,Outer Regional Australia,1,100,,,,,,,
15750,Narrabri (A),12,Outer Regional Australia,0.9433692,94.3369229,,,,,,,
15750,Narrabri (A),13,Remote Australia,0.0566308,5.6630771,,,,,,,
15800,Narrandera (A),12,Outer Regional Australia,1,100,,,,,,,
15850,Narromine (A),12,Outer Regional Australia,1,100,,,,,,,
15900,Newcastle (C),10,Major Cities of Australia,1,100,,,,,,,
15950,North Sydney (A),10,Major Cities of Australia,1,100,,,,,,,
16100,Oberon (A),11,Inner Regional Australia,0.8998712,89.9871234,,,,,,,
16100,Oberon (A),12,Outer Regional Australia,0.1001288,10.0128766,,,,,,,
16150,Orange (C),11,Inner Regional Australia,1,100,,,,,,,
16180,Palerang (A),10,Major Cities of Australia,0.0612448,6.1244817,,,,,,,
16180,Palerang (A),11,Inner Regional Australia,0.8838285,88.3828514,,,,,,,
16180,Palerang (A),12,Outer Regional Australia,0.0549267,5.4926669,,,,,,,
16200,Parkes (A),12,Outer Regional Australia,1,100,,,,,,,
16250,Parramatta (C),10,Major Cities of Australia,1,100,,,,,,,
16350,Penrith (C),10,Major Cities of Australia,0.9807021,98.0702138,,,,,,,
16350,Penrith (C),11,Inner Regional Australia,0.0192979,1.9297862,,,,,,,
16370,Pittwater (A),10,Major Cities of Australia,0.9947157,99.4715668,,,,,,,
16370,Pittwater (A),11,Inner Regional Australia,0.0052843,0.5284332,,,,,,,
16380,Port Macquarie-Hastings (A),11,Inner Regional Australia,0.9689381,96.8938127,,,,,,,
16380,Port Macquarie-Hastings (A),12,Outer Regional Australia,0.0310619,3.1061873,,,,,,,
16400,Port Stephens (A),10,Major Cities of Australia,0.2664449,26.6444898,,,,,,,
16400,Port Stephens (A),11,Inner Regional Australia,0.7335551,73.3555102,,,,,,,
16470,Queanbeyan (C),10,Major Cities of Australia,0.9640442,96.4044237,,,,,,,
16470,Queanbeyan (C),11,Inner Regional Australia,0.0359558,3.5955763,,,,,,,
16550,Randwick (C),10,Major Cities of Australia,1,100,,,,,,,
16610,Richmond Valley (A),11,Inner Regional Australia,0.9754486,97.5448611,,,,,,,
16610,Richmond Valley (A),12,Outer Regional Australia,0.0245514,2.4551389,,,,,,,
16650,Rockdale (C),10,Major Cities of Australia,1,100,,,,,,,
16700,Ryde (C),10,Major Cities of Australia,1,100,,,,,,,
16900,Shellharbour (C),10,Major Cities of Australia,0.9865895,98.6589489,,,,,,,
16900,Shellharbour (C),11,Inner Regional Australia,0.0134105,1.3410511,,,,,,,
16950,Shoalhaven (C),11,Inner Regional Australia,0.9977479,99.7747933,,,,,,,
16950,Shoalhaven (C),12,Outer Regional Australia,0.0022521,0.2252067,,,,,,,
17000,Singleton (A),11,Inner Regional Australia,0.9696835,96.9683475,,,,,,,
17000,Singleton (A),12,Outer Regional Australia,0.0303165,3.0316525,,,,,,,
17050,Snowy River (A),11,Inner Regional Australia,0.0325086,3.250864,,,,,,,
17050,Snowy River (A),12,Outer Regional Australia,0.9674914,96.749136,,,,,,,
17100,Strathfield (A),10,Major Cities of Australia,1,100,,,,,,,
17150,Sutherland Shire (A),10,Major Cities of Australia,0.986114,98.611395,,,,,,,
17150,Sutherland Shire (A),11,Inner Regional Australia,0.013886,1.388605,,,,,,,
17200,Sydney (C),10,Major Cities of Australia,1,100,,,,,,,
17310,Tamworth Regional (A),11,Inner Regional Australia,0.8188128,81.8812837,,,,,,,
17310,Tamworth Regional (A),12,Outer Regional Australia,0.1811872,18.1187163,,,,,,,
17350,Temora (A),12,Outer Regional Australia,1,100,,,,,,,
17400,Tenterfield (A),12,Outer Regional Australia,1,100,,,,,,,
17420,The Hills Shire (A),10,Major Cities of Australia,0.96956,96.9559962,,,,,,,
17420,The Hills Shire (A),11,Inner Regional Australia,0.03044,3.0440038,,,,,,,
17450,Tumbarumba (A),12,Outer Regional Australia,1,100,,,,,,,
17500,Tumut Shire (A),11,Inner Regional Australia,0.793158,79.3158011,,,,,,,
17500,Tumut Shire (A),12,Outer Regional Australia,0.206842,20.6841989,,,,,,,
17550,Tweed (A),10,Major Cities of Australia,0.7576962,75.7696194,,,,,,,
17550,Tweed (A),11,Inner Regional Australia,0.2423038,24.2303806,,,,,,,
17620,Upper Hunter Shire (A),11,Inner Regional Australia,0.5991667,59.9166651,,,,,,,
17620,Upper Hunter Shire (A),12,Outer Regional Australia,0.4008333,40.0833349,,,,,,,
17640,Upper Lachlan Shire (A),11,Inner Regional Australia,0.8671788,86.7178837,,,,,,,
17640,Upper Lachlan Shire (A),12,Outer Regional Australia,0.1328212,13.2821163,,,,,,,
17650,Uralla (A),12,Outer Regional Australia,1,100,,,,,,,
17700,Urana (A),12,Outer Regional Australia,1,100,,,,,,,
17750,Wagga Wagga (C),11,Inner Regional Australia,0.9826627,98.2662724,,,,,,,
17750,Wagga Wagga (C),12,Outer Regional Australia,0.0173373,1.7337276,,,,,,,
17800,Wakool (A),12,Outer Regional Australia,0.9659149,96.5914923,,,,,,,
17800,Wakool (A),13,Remote Australia,0.0340851,3.4085077,,,,,,,
17850,Walcha (A),12,Outer Regional Australia,1,100,,,,,,,
17900,Walgett (A),13,Remote Australia,0.9446005,94.4600545,,,,,,,
17900,Walgett (A),14,Very Remote Australia,0.0553995,5.5399455,,,,,,,
17950,Warren (A),12,Outer Regional Australia,0.6153154,61.5315439,,,,,,,
17950,Warren (A),13,Remote Australia,0.3846846,38.4684561,,,,,,,
18000,Warringah (A),10,Major Cities of Australia,1,100,,,,,,,
18020,Warrumbungle Shire (A),12,Outer Regional Australia,0.8807621,88.0762103,,,,,,,
18020,Warrumbungle Shire (A),13,Remote Australia,0.1192379,11.9237897,,,,,,,
18050,Waverley (A),10,Major Cities of Australia,1,100,,,,,,,
18100,Weddin (A),12,Outer Regional Australia,1,100,,,,,,,
18150,Wellington (A),11,Inner Regional Australia,0.003886,0.3886048,,,,,,,
18150,Wellington (A),12,Outer Regional Australia,0.996114,99.6113952,,,,,,,
18200,Wentworth (A),12,Outer Regional Australia,0.873043,87.3042998,,,,,,,
18200,Wentworth (A),13,Remote Australia,0.126957,12.6957002,,,,,,,
18250,Willoughby (C),10,Major Cities of Australia,1,100,,,,,,,
18350,Wingecarribee (A),11,Inner Regional Australia,0.9999099,99.9909858,,,,,,,
18400,Wollondilly (A),10,Major Cities of Australia,0.0717547,7.175475,,,,,,,
18400,Wollondilly (A),11,Inner Regional Australia,0.9282453,92.824525,,,,,,,
18450,Wollongong (C),10,Major Cities of Australia,0.9905774,99.0577417,,,,,,,
18450,Wollongong (C),11,Inner Regional Australia,0.0094226,0.9422583,,,,,,,
18500,Woollahra (A),10,Major Cities of Australia,1,100,,,,,,,
18550,Wyong (A),10,Major Cities of Australia,0.985649,98.5648964,,,,,,,
18550,Wyong (A),11,Inner Regional Australia,0.014351,1.4351036,,,,,,,
18710,Yass Valley (A),10,Major Cities of Australia,0.0336179,3.3617852,,,,,,,
18710,Yass Valley (A),11,Inner Regional Australia,0.9663821,96.6382083,,,,,,,
18750,Young (A),11,Inner Regional Australia,0.8309821,83.0982103,,,,,,,
18750,Young (A),12,Outer Regional Australia,0.1690179,16.9017897,,,,,,,
19399,Unincorporated NSW,13,Remote Australia,0.4101326,41.0132557,,,,,,,
19399,Unincorporated NSW,14,Very Remote Australia,0.5898674,58.9867443,,,,,,,
20110,Alpine (S),21,Inner Regional Australia,0.4075053,40.7505282,,,,,,,
20110,Alpine (S),22,Outer Regional Australia,0.5924947,59.2494718,,,,,,,
20260,Ararat (RC),21,Inner Regional Australia,0.8298837,82.9883665,,,,,,,
20260,Ararat (RC),22,Outer Regional Australia,0.1701163,17.0116335,,,,,,,
20570,Ballarat (C),21,Inner Regional Australia,1,100,,,,,,,
20660,Banyule (C),20,Major Cities of Australia,1,100,,,,,,,
20740,Bass Coast (S),21,Inner Regional Australia,1,100,,,,,,,
20830,Baw Baw (S),21,Inner Regional Australia,0.9999063,99.9906338,,,,,,,
20910,Bayside (C),20,Major Cities of Australia,1,100,,,,,,,
21010,Benalla (RC),21,Inner Regional Australia,0.9744392,97.4439175,,,,,,,
21010,Benalla (RC),22,Outer Regional Australia,0.0255608,2.5560825,,,,,,,
21110,Boroondara (C),20,Major Cities of Australia,1,100,,,,,,,
21180,Brimbank (C),20,Major Cities of Australia,1,100,,,,,,,
21270,Buloke (S),22,Outer Regional Australia,1,100,,,,,,,
21370,Campaspe (S),21,Inner Regional Australia,0.9855907,98.5590738,,,,,,,
21370,Campaspe (S),22,Outer Regional Australia,0.0144093,1.4409262,,,,,,,
21450,Cardinia (S),20,Major Cities of Australia,0.7646311,76.4631077,,,,,,,
21450,Cardinia (S),21,Inner Regional Australia,0.2353689,23.5368923,,,,,,,
21610,Casey (C),20,Major Cities of Australia,0.9896783,98.9678305,,,,,,,
21610,Casey (C),21,Inner Regional Australia,0.0103217,1.0321695,,,,,,,
21670,Central Goldfields (S),21,Inner Regional Australia,1,100,,,,,,,
21750,Colac-Otway (S),21,Inner Regional Australia,0.9665279,96.652786,,,,,,,
21750,Colac-Otway (S),22,Outer Regional Australia,0.0334721,3.347214,,,,,,,
21830,Corangamite (S),21,Inner Regional Australia,0.6873712,68.7371194,,,,,,,
21830,Corangamite (S),22,Outer Regional Australia,0.3126288,31.2628806,,,,,,,
21890,Darebin (C),20,Major Cities of Australia,1,100,,,,,,,
22110,East Gippsland (S),22,Outer Regional Australia,0.9524077,95.2407745,,,,,,,
22110,East Gippsland (S),23,Remote Australia,0.0475923,4.7592255,,,,,,,
22170,Frankston (C),20,Major Cities of Australia,1,100,,,,,,,
22250,Gannawarra (S),22,Outer Regional Australia,1,100,,,,,,,
22310,Glen Eira (C),20,Major Cities of Australia,1,100,,,,,,,
22410,Glenelg (S),22,Outer Regional Australia,1,100,,,,,,,
22490,Golden Plains (S),21,Inner Regional Australia,1,100,,,,,,,
22620,Greater Bendigo (C),21,Inner Regional Australia,1,100,,,,,,,
22670,Greater Dandenong (C),20,Major Cities of Australia,1,100,,,,,,,
22750,Greater Geelong (C),20,Major Cities of Australia,0.8041344,80.4134388,,,,,,,
22750,Greater Geelong (C),21,Inner Regional Australia,0.1958656,19.5865612,,,,,,,
22830,Greater Shepparton (C),21,Inner Regional Australia,1,100,,,,,,,
22910,Hepburn (S),21,Inner Regional Australia,1,100,,,,,,,
22980,Hindmarsh (S),22,Outer Regional Australia,0.8786185,87.8618469,,,,,,,
22980,Hindmarsh (S),23,Remote Australia,0.1213815,12.1381531,,,,,,,
23110,Hobsons Bay (C),20,Major Cities of Australia,1,100,,,,,,,
23190,Horsham (RC),22,Outer Regional Australia,1,100,,,,,,,
23270,Hume (C),20,Major Cities of Australia,0.9922417,99.2241683,,,,,,,
23270,Hume (C),21,Inner Regional Australia,0.0077583,0.7758317,,,,,,,
23350,Indigo (S),21,Inner Regional Australia,1,100,,,,,,,
23430,Kingston (C),20,Major Cities of Australia,1,100,,,,,,,
23670,Knox (C),20,Major Cities of Australia,1,100,,,,,,,
23810,Latrobe (C),21,Inner Regional Australia,1,100,,,,,,,
